Brand Name,Product,Price,Processor,Memory,Storage,Graphics,Display,OS,Image
Acer,Chromebook 315  CB3153HC7LJ,$349.99,Intel Celeron N4020 processor,Intel UHD Graphics 600,512 GB SSD,Intel UHD (shared),11.6  HD (1366 x 768)   16:9   IPS   60 Hz   Touchscreen,Chrome OS,https://multimedia.bbycastatic.ca/multimedia/products/500x500/177/17739/17739396.jpg
Acer,Aspire Go 15 Laptop  AG1531PC99T,$399.99,Intel N100 processor Quad core,4 GB LPDDR5,128 GB SSD,Intel UHD (shared),15.6  Full HD (1920 x 1080)   16:9,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/177/17739/17739396.jpg
Acer,Aspire Go 15 Laptop,$549.99,Intel N100 processor Quad core,8 GB LPDDR5,512 GB SSD,Intel UHD (shared),15.6  Full HD (1920 x 1080)   16:9   60 Hz,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/177/17739/17739396.jpg
Acer,Aspire 3 Laptop  A3155932X9,$749.99,Intel Core i3 1215U processor Hexa core 1.20 GHz,8 GB DDR4 SDRAM,256 GB SSD,Intel UHD (shared),11.6  HD (1366 x 768)   16:9   IPS   60 Hz,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/177/17739/17739396.jpg
Acer,Aspire 15 Laptop  A1541MR2S6,$849.99,AMD Ryzen 5 7535U processor Hexa core 2.90 GHz,8 GB DDR5 SDRAM,512 GB SSD,AMD Radeon (shared),14     16:10   60 Hz,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/193/19304/19304225.jpeg
Acer,Aspire 5 Laptop  A51545R8EA,$999.99,AMD Ryzen 7 5700U processor Octa core 1.80 GHz,8 GB DDR4 SDRAM,512 GB SSD,Intel UHD (shared),15.6  Full HD (1920 x 1080)   16:9   60 Hz,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/193/19304/19304225.jpeg
Acer,Aspire Go 15 Laptop  AG1531PC99T,$399.99,Intel N100 processor Quad core,4 GB LPDDR5,128 GB SSD,Intel UHD (shared),15.6  Full HD (1920 x 1080)   16:9   IPS   60 Hz,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/193/19304/19304225.jpeg
Acer,Aspire Go 15 Laptop  AG1531PC6FC,$549.99,Intel N100 processor Quad core,8 GB LPDDR5,512 GB SSD,AMD Radeon (shared),15.6  Full HD (1920 x 1080)   16:9   IPS   60 Hz,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/193/19304/19304225.jpeg
Acer,Aspire 3 Laptop  A3155932X9,$749.99,Intel Core i3 1215U processor Hexa core 1.20 GHz,8 GB DDR4 SDRAM,256 GB SSD,Intel Iris Xe (shared),14  Full HD (1920 x 1080)   16:9,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/193/19304/19304225.jpeg
Acer,Aspire 15 Laptop  A1541MR2S6,$849.99,AMD Ryzen 5 7535U processor Hexa core 2.90 GHz,8 GB DDR5 SDRAM,512 GB SSD,AMD Radeon (shared),14  Full HD (1920 x 1080)   16:9   60 Hz,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/177/17739/17739396.jpg
Acer,Aspire 5 Laptop  A51545R8EA,$999.99,AMD Ryzen 7 5700U processor Octa core 1.80 GHz,8 GB DDR4 SDRAM,512 GB SSD,AMD Radeon (shared),15.6  Full HD (1920 x 1080)   16:9   60 Hz,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/177/17739/17739396.jpg
Acer,Chromebook 315  CB3153HC7LJ,$349.99,Intel Celeron N4020 processor,Intel UHD Graphics 600,512 GB SSD,Intel Iris X (shared),14  Full HD (1920 x 1080)   16:9,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/177/17739/17739396.jpg
Acer,Aspire Go 15 Laptop  AG1531PC99T,$399.99,Intel N100 processor Quad core,4 GB LPDDR5,128 GB SSD,Intel UHD (shared),15.6  IPS Full HD   ComfyView   LED-backlit,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/177/17739/17739396.jpg
Acer,Aspire Go 15 Laptop  AG1531PC6FC,$549.99,Intel N100 processor Quad core,8 GB LPDDR5,512 GB SSD,Intel UHD (shared),14  Full HD (1920 x 1080)   16:9   IPS   60 Hz   Touchscreen,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/193/19304/19304225.jpeg
Acer,Aspire 3 Laptop  A3155932X9,$749.99,Intel Core i3 1215U processor Hexa core 1.20 GHz,8 GB DDR4 SDRAM,256 GB SSD,AMD Radeon (shared),14     16:10   IPS   60 Hz   Touchscreen,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/193/19304/19304225.jpeg
Acer,Aspire 15 Laptop  A1541MR2S6,$849.99,AMD Ryzen 5 7535U processor Hexa core 2.90 GHz,8 GB DDR5 SDRAM,512 GB SSD,Intel UHD (shared),17.3  HD+ (1600 x 900)   16:9   60 Hz,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/193/19304/19304225.jpeg
Acer,Aspire 5 Laptop  A51545R8EA,$999.99,AMD Ryzen 7 5700U processor Octa core 1.80 GHz,8 GB DDR4 SDRAM,512 GB SSD,Intel UHD (shared),14  Full HD (1920 x 1080)   16:9,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/193/19304/19304225.jpeg
Acer,Chromebook 315  CB3153HC7LJ,$349.99,Intel Celeron N4020 processor,Intel UHD Graphics 600,512 GB SSD,AMD Radeon,15.6  Full HD (1920 x 1080)   IPS   ComfyView,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/177/17739/17739396.jpg
Acer,Aspire Go 15 Laptop  AG1531PC99T,$399.99,Intel N100 processor Quad core,4 GB LPDDR5,128 GB SSD,AMD Radeon (shared),15.6  Full HD (1920 x 1080)   16:9   IPS   60 Hz   Touchscreen,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/177/17739/17739396.jpg
Acer,Aspire Go 15 Laptop  AG1531PC6FC,$549.99,Intel N100 processor Quad core,8 GB LPDDR5,512 GB SSD,Intel Iris Xe   shared memory,14   16:10 60 Hz Touchscreen,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/177/17739/17739396.jpg
Acer,Aspire 3 Laptop  A3155932X9,$749.99,Intel Core i3 1215U processor Hexa core 1.20 GHz,8 GB DDR4 SDRAM,256 GB SSD,Intel Iris Xe   shared memory,15.6  Full HD (1920 x 1080) 16:9 60 Hz,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/177/17739/17739396.jpg
Acer,Aspire 15 Laptop  A1541MR2S6,$849.99,AMD Ryzen 5 7535U processor Hexa core 2.90 GHz,8 GB DDR5 SDRAM,512 GB SSD,Intel Iris Xe   shared memory,15.6  Full HD (1920 x 1080) 16:9 60 Hz,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/177/17739/17739396.jpg
Acer,Aspire 5 Laptop  A51545R8EA,$999.99,AMD Ryzen 7 5700U processor Octa core 1.80 GHz,8 GB DDR4 SDRAM,512 GB SSD,AMD Radeon   shared memory,15.6  Full HD (1920 x 1080) 16:9 60 Hz,Windows 11 Home,https://multimedia.bbycastatic.ca/multimedia/products/500x500/177/17739/17739396.jpg
Apple,MacBook Air M1,$1199.00,M1,8 GB,256 GB,Integrated,14.2 Liquid Retina XDR,macOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mbp14-silver-select-202410?wid=904&hei=840&fmt=jpeg&qlt=90&.v=TmFyblM0VWE4L3UyTlNOSEdPY3VqV2d4R2cxNzZhWDBDYmdmTDE5MDg3NXBXalhMVU5sWTJOK1MxYmlTTi9sTmdsbGZlRHV0Q3JlbHJxWXRlWjZpMmtsT0w0bW9TRXVmSzM3RnZrKzhDMTA
Apple,MacBook Air M2,$1449.00,M2,8 GB,256 GB,Integrated,16.2 Liquid Retina XDR,macOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mba13-skyblue-select-202503?wid=904&hei=840&fmt=jpeg&qlt=90&.v=M2RyY09CWXlTQUp1KzEveHR6VXNxcTQ1bzN1SitYTU83Mm9wbk1xa1lWNC9UNzNvY2N5NXJTTDQ2YkVYYmVXakJkRlpCNVhYU3AwTldRQldlSnpRa0lIV0Fmdk9rUlVsZ3hnNXZ3K3lEVlk
Apple,MacBook Air M3,$1299.00,M3,8 GB,256 GB,Integrated,13.6 Liquid Retina,macOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mba13-starlight-select-202503?wid=904&hei=840&fmt=jpeg&qlt=90&.v=U3RnbTBEaGs0WGRSa05FY2NWZjZNVjVIeG1GZXZCc2xNMHRiT3dJVEsvMmxLeXRZUkZPU04xN0huck9BdWxkVXVUb3VPa2FUZVhQMFhDQnVBMWhwQXpJbUhxSE4yZ0tBY2hHU29QRjN6VXc
Apple,MacBook Air M3 (15),$1549.00,M3,8 GB,256 GB,Integrated,13.6 Liquid Retina,macOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mba13-starlight-select-202503?wid=904&hei=840&fmt=jpeg&qlt=90&.v=U3RnbTBEaGs0WGRSa05FY2NWZjZNVjVIeG1GZXZCc2xNMHRiT3dJVEsvMmxLeXRZUkZPU04xN0huck9BdWxkVXVUb3VPa2FUZVhQMFhDQnVBMWhwQXpJbUhxSE4yZ0tBY2hHU29QRjN6VXc
Apple,MacBook Air M4 (13),$1399.00,M4,8 GB,256 GB,Integrated,13.6 Liquid Retina,macOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mba13-skyblue-select-202503?wid=904&hei=840&fmt=jpeg&qlt=90&.v=M2RyY09CWXlTQUp1KzEveHR6VXNxcTQ1bzN1SitYTU83Mm9wbk1xa1lWNC9UNzNvY2N5NXJTTDQ2YkVYYmVXakJkRlpCNVhYU3AwTldRQldlSnpRa0lIV0Fmdk9rUlVsZ3hnNXZ3K3lEVlk
Apple,MacBook Air M4 (15),$1649.00,M4,8 GB,256 GB,Integrated,15.3 Liquid Retina,macOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mba13-skyblue-select-202503?wid=904&hei=840&fmt=jpeg&qlt=90&.v=M2RyY09CWXlTQUp1KzEveHR6VXNxcTQ1bzN1SitYTU83Mm9wbk1xa1lWNC9UNzNvY2N5NXJTTDQ2YkVYYmVXakJkRlpCNVhYU3AwTldRQldlSnpRa0lIV0Fmdk9rUlVsZ3hnNXZ3K3lEVlk
Apple,MacBook Pro 14 M3,$2199.00,M3,8 GB,512 GB,Integrated,14.2 Liquid Retina XDR,macOS,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mbp14-silver-select-202410?wid=904&hei=840&fmt=jpeg&qlt=90&.v=TmFyblM0VWE4L3UyTlNOSEdPY3VqV2d4R2cxNzZhWDBDYmdmTDE5MDg3NXBXalhMVU5sWTJOK1MxYmlTTi9sTmdsbGZlRHV0Q3JlbHJxWXRlWjZpMmtsT0w0bW9TRXVmSzM3RnZrKzhDMTA
